problem,budget,method,first_mismatch,top1,top5,strict_prefix,mean_nll,saved_ratio,cache_ratio,prefix_compression_events,compression_events,report_path
geometry248,104,cask,62,0.8436781609195402,0.9816091954022989,0.1425287356321839,0.6959052362661252,0.7102272727272727,0.2897727272727273,2,3,experiments/reports/geometry_teacher_forced_fidelity_vs_fullkv_sm104_v2.json
geometry248,104,triattention,62,0.767816091954023,0.9494252873563218,0.1425287356321839,0.920992112159729,0.7709580838323353,0.22904191616766467,,,experiments/reports/geometry_teacher_forced_fidelity_vs_fullkv_tri104_v2baseline.json
geometry248,128,cask,27,0.8413793103448276,0.967816091954023,0.06206896551724138,0.7052519762653043,0.7192028985507246,0.2807971014492754,1,4,experiments/reports/geometry248_teacher_forced_fidelity_vs_fullkv_sm128_v2.json
geometry248,128,triattention,24,0.7724137931034483,0.9287356321839081,0.05517241379310345,1.0057890204177506,0.7679640718562875,0.23203592814371257,,,experiments/reports/geometry248_teacher_forced_fidelity_vs_fullkv_tri128_v2.json
geometry248,160,cask,72,0.8574712643678161,0.9793103448275862,0.16551724137931034,0.572045767718348,0.5154109589041096,0.4845890410958904,1,3,experiments/reports/geometry248_teacher_forced_fidelity_vs_fullkv_sm160_v2.json
geometry248,160,triattention,56,0.7724137931034483,0.9425287356321839,0.12873563218390804,0.9437737251150197,0.5763473053892215,0.4236526946107784,,,experiments/reports/geometry248_teacher_forced_fidelity_vs_fullkv_tri160_v2.json
geometry248,192,cask,91,0.8528735632183908,0.9724137931034482,0.20919540229885059,0.5776108741760254,0.5405844155844156,0.4594155844155844,1,3,experiments/reports/geometry248_teacher_forced_fidelity_vs_fullkv_sm192_v2.json
geometry248,192,triattention,88,0.7448275862068966,0.9425287356321839,0.20229885057471264,1.042191715076052,0.5763473053892215,0.4236526946107784,,,experiments/reports/geometry248_teacher_forced_fidelity_vs_fullkv_tri192_v2.json
geometry434,104,cask,38,0.8046875,0.9609375,0.1484375,0.8068900676444173,0.42406876790830944,0.5759312320916905,1,2,experiments/reports/geometry434_teacher_forced_fidelity_vs_fullkv_sm104_v2.json
geometry434,104,triattention,31,0.79296875,0.9375,0.12109375,0.9062215718440711,0.5611353711790393,0.4388646288209607,,,experiments/reports/geometry434_teacher_forced_fidelity_vs_fullkv_tri104.json
geometry434,128,cask,66,0.86328125,0.97265625,0.2578125,0.5958254495635629,0.46112600536193027,0.5388739946380697,1,2,experiments/reports/geometry434_teacher_forced_fidelity_vs_fullkv_sm128_v2.json
geometry434,128,triattention,59,0.8125,0.94921875,0.23046875,0.7509129089303315,0.5611353711790393,0.4388646288209607,,,experiments/reports/geometry434_teacher_forced_fidelity_vs_fullkv_tri128_v2.json
geometry434,160,cask,89,0.8515625,0.9765625,0.34765625,0.7344340947456658,0.5037037037037037,0.4962962962962963,1,2,experiments/reports/geometry434_teacher_forced_fidelity_vs_fullkv_sm160_v2.json
geometry434,160,triattention,87,0.8515625,0.96875,0.33984375,0.5443678996525705,0.5611353711790393,0.4388646288209607,,,experiments/reports/geometry434_teacher_forced_fidelity_vs_fullkv_tri160_v2.json
geometry434,192,cask,131,0.87890625,0.98828125,0.51171875,0.44121961016207933,0.540045766590389,0.459954233409611,1,2,experiments/reports/geometry434_teacher_forced_fidelity_vs_fullkv_sm192_v2.json
geometry434,192,triattention,119,0.87109375,0.97265625,0.46484375,0.46726913284510374,0.5611353711790393,0.4388646288209607,,,experiments/reports/geometry434_teacher_forced_fidelity_vs_fullkv_tri192_v2.json
hexagon,104,cask,160,0.8639308855291576,0.9827213822894169,0.34557235421166305,0.49758391323666334,0.7272727272727273,0.2727272727272727,,3,experiments/reports/hexagon_teacher_forced_fidelity_vs_fullkv_sm104.json
hexagon,104,triattention,31,0.7667386609071274,0.9481641468682506,0.06695464362850972,0.8744390834742437,0.7277580071174378,0.2722419928825623,,,experiments/reports/hexagon_teacher_forced_fidelity_vs_fullkv_tri104.json
hexagon,128,cask,160,0.8876889848812095,0.9935205183585313,0.34557235421166305,0.4915297850161855,0.6844919786096256,0.3155080213903743,0,3,experiments/reports/hexagon_teacher_forced_fidelity_vs_fullkv_sm128_v2.json
hexagon,128,triattention,158,0.8768898488120951,0.980561555075594,0.3412526997840173,0.4513499229567097,0.6850533807829181,0.31494661921708184,,,experiments/reports/hexagon_teacher_forced_fidelity_vs_fullkv_tri128_v2.json
hexagon,160,cask,192,0.9265658747300216,0.9978401727861771,0.4146868250539957,0.290756181815788,0.6844919786096256,0.3155080213903743,0,3,experiments/reports/hexagon_teacher_forced_fidelity_vs_fullkv_sm160_v2.json
hexagon,160,triattention,192,0.8812095032397408,0.9762419006479481,0.4146868250539957,0.41989305750597633,0.6850533807829181,0.31494661921708184,,,experiments/reports/hexagon_teacher_forced_fidelity_vs_fullkv_tri160_v2.json
hexagon,192,cask,293,0.9632829373650108,1.0,0.6328293736501079,0.18860470707936627,0.5704099821746881,0.4295900178253119,,2,experiments/reports/hexagon_teacher_forced_fidelity_vs_fullkv_sm192.json
hexagon,192,triattention,160,0.9244060475161987,1.0,0.34557235421166305,0.2364654765015802,0.5711743772241993,0.4288256227758007,,,experiments/reports/hexagon_teacher_forced_fidelity_vs_fullkv_tri192.json
